CustomerID,TransactionAfterStartDate(Days),TotalTransactions,CustomerLife(Days),DaysSinceLastTransaction,AvgDaysBetweenTransactions,AvgTransactionsPerMonth,AvgTransactionValue,MaxTransactionValue,MinTransactionValue,Revenue,ActiveMonths,InactiveMonths,NoOfWeekendTransactions,NoOfWeekdayTransactions,MaxGapBetweentransactions,Churner,Scored Labels,Scored Probabilities
12778,61,6,292,19,58.4,1.2,15.755227272727273,45,5.04,693.23,5,8,1,5,119,False,False,0.04777232246561586
16359,42,9,324,6,40.5,1,26.52909090909091,228.96,2.1,1750.92,9,4,1,8,81,False,False,0.017143252253668383
13077,7,4,365,0,121.66666666666669,1.3333333333333333,6.558738738738739,81.36,0.21,728.02,3,10,0,4,289,False,False,0.02587145772091874
15356,5,10,336,30,37.333333333333336,1.1111111111111112,5.44695390781563,35.40000000000001,0.29,2718.03,9,4,0,10,64,False,False,0.035903632960816674
18211,95,5,252,25,63,1,14.287380952380953,47.7,1.95,600.07,5,8,1,4,142,False,False,0.06955156194357345
13199,7,37,363,3,10.083333333333334,2.8461538461538463,83.06881355932204,408,5.76,9802.12,13,0,1,36,35,False,False,0.005786647161858837
14235,113,5,185,74,46.25,1.25,39.80835443037975,179,9.9,3144.86,4,9,1,4,82,True,False,0.3128321611921769
13700,46,10,300,25,33.333333333333336,1.4285714285714286,11.590876288659794,99.6,0.29,2248.63,7,6,4,6,84,False,False,0.041625057905045025
16525,7,26,364,1,14.56,2.1666666666666665,71.18825136612023,330,10.08,13027.45,12,1,4,22,42,False,False,0.00796059026097644
15358,8,22,360,4,17.142857142857142,1.6923076923076923,15.149183303085303,79,4.68,8347.2,13,0,0,22,42,False,False,0.006535414622292066
17811,40,39,329,3,8.657894736842103,3.25,9.377412333736396,204,0.19,7755.12,12,1,8,31,22,False,False,0.008671475843955721
13579,4,2,354,14,354,1,20.30608695652174,47.7,8.95,467.04,2,11,1,1,354,False,False,0.038796455178857714
13026,98,5,274,0,68.5,1,24.384,159.36,4.68,975.36,5,8,0,5,127,False,False,0.026721164857022504
14498,12,5,319,42,79.75,1,10.14155440414508,170,0.42,1957.32,5,8,0,5,175,False,False,0.08740156688219629
12428,90,8,257,25,36.714285714285715,1.6,22.31797909407665,135,2.34,6405.26,5,8,1,7,94,False,False,0.06051898833939418
14132,190,11,181,1,18.1,1.5714285714285714,17.930149999999994,74,4.32,3586.03,7,6,0,11,26,False,False,0.02444486950217399
15596,8,5,264,100,66,1,18.2674025974026,39.8,5.95,1406.59,5,8,0,5,114,True,False,0.44066389267465994
18180,231,6,137,4,27.4,1.5,15.493697478991598,38.25,4.68,1843.75,4,9,0,6,54,False,False,0.05965721003520144
17049,98,9,273,2,34.125,1.125,17.839211356466876,250,3.4799999999999995,5655.03,8,5,1,8,61,False,False,0.020516749652893213
17381,1,29,363,8,12.964285714285715,2.230769230769231,186.01477064220185,1326,12.6,20275.61,13,0,2,27,42,False,False,0.009105667592302817
